JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
CA|Crédit Agricole||20180102|51200000|Banques|51214000|Crédit agricole| ||Virement Unitair N°1800200049044  - Frais  - |0|0,22|||20180301||
CA|Crédit Agricole||20180102|51200000|Banques|51214000|Crédit agricole| ||Virement Unitair N°1800200049045  - Frais  - |0|0,22|||20180301||
CA|Crédit Agricole||20180102|51200000|Banques|51214000|Crédit agricole|D-2017-0969 FG|20171130|Virement Emis  - Web Eolas Eolas Heb1711003297  - Eolas Heb1711003297  - 02/01/2018  - |0|294,04|||20180301||
CA|Crédit Agricole||20180102|51200000|Banques|51214000|Crédit agricole|D-2017-0916 FG|20171130|Virement Emis  - Web Apf Consultant Apf Consultan  - Apf Consultant F171103  - 02/01/2018  - |0|1908,00|||20180301||
CA|Crédit Agricole||20180102|51200000|Banques|51214000|Crédit agricole|D-2017-0878 |20171030|Virement Emis  - Web Mme Pegaz Fiornet So Pegaz F  - Pegaz F 2017 032 Deuxieme Tiers  - 02/01/2018  - |0|2816,00|||20180301||
CA|Crédit Agricole||20180102|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Virement Unitair N°1800200049044  - Frais  - |0,22|0|||20180301||
CA|Crédit Agricole||20180102|41100000|Clients|411ENSP|ENSP - Cannes Ecluse|2017-212 FC|20171020|Drfip Auvergne Rhone Alpes Depar  - Virement En Votre Faveur  - Pilot Collabo Directs 18-19.10.2017 - /ecole Nationale Superieure De La P  - Olice  - 1d0690000/127/nicomak  - Ecole Nationale Superieure De La Po - Lice     |0|2000,00|||20180301||
CA|Crédit Agricole||20180102|51200000|Banques|51214000|Crédit agricole|2017-212 FC|20171020|Drfip Auvergne Rhone Alpes Depar  - Virement En Votre Faveur  - Pilot Collabo Directs 18-19.10.2017 - /ecole Nationale Superieure De La P  - Olice  - 1d0690000/127/nicomak  - Ecole Nationale Superieure De La Po - Lice     |2000,00|0|||20180301||
CA|Crédit Agricole||20180102|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Virement Unitair N°1800200049045  - Frais  - |0,22|0|||20180301||
CA|Crédit Agricole||20180102|40100000|Fournisseurs|401ARI|Arielle Prunet-Foch Consultant|D-2017-0916 FG|20171130|Virement Emis  - Web Apf Consultant Apf Consultan  - Apf Consultant F171103  - 02/01/2018  - |1908,00|0|||20180301||
CA|Crédit Agricole||20180102|40100000|Fournisseurs|401PEGAZ|Cabinet PEGAZ-FIORNET|D-2017-0878 |20171030|Virement Emis  - Web Mme Pegaz Fiornet So Pegaz F  - Pegaz F 2017 032 Deuxieme Tiers  - 02/01/2018  - |2816,00|0|2017 2018 A||20180301||
CA|Crédit Agricole||20180102|40100000|Fournisseurs|401EOL|Eolas|D-2017-0969 FG|20171130|Virement Emis  - Web Eolas Eolas Heb1711003297  - Eolas Heb1711003297  - 02/01/2018  - |294,04|0|||20180301||
CA|Crédit Agricole||20180103|51200000|Banques|51214000|Crédit agricole|D-2017-1009 Conseil|20171225|Free Mobile  - Prelevmnt  - Fr07zzz591778  - Fm-20220316-1  - |0|23,29|||20180301||
SG|Société Générale||20180103|51200000|Banques|51215000|Soge| ||CIONS TENUE DE COMPTE|0|0,68|||20180301||
SG|Société Générale||20180103|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||CIONS TENUE DE COMPTE|0,68|0|||20180301||
CA|Crédit Agricole||20180103|40100000|Fournisseurs|401ILIAD|Iliad - maison-mère de Free|D-2017-1009 Conseil|20171225|Free Mobile  - Prelevmnt  - Fr07zzz591778  - Fm-20220316-1  - |23,29|0|||20180301||
CA|Crédit Agricole||20180103|51200000|Banques|51214000|Crédit agricole|2017-282 Conseil|20171222|Hr A M Van Den Boogaard Objet :  - Virement En Votre Faveur  - Numero Du Devis : 2017-144 - Objet : Red Star Part 1  -   |2035,00|0|||20180301||
SG|Société Générale||20180103|51200000|Banques|51215000|Soge| ||INT DEBITEURS ET CION DECOUVERT|0|1,13|||20180301||
SG|Société Générale||20180103|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||INT DEBITEURS ET CION DECOUVERT|1,13|0|||20180301||
CA|Crédit Agricole||20180103|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Assu. Cnp Pret Profession. 01/18  - Prelevement  - |23,50|0|||20180301||
VE|Journal des ventes||20180103|70600000|Prestations de services|70600200|PS Conseil 19.6%|2018-002 Web|20180103|2018-002 : Licences Panorama|0|600,00|||20180301||
VE|Journal des ventes||20180103|41100000|Clients|411CAPA|CAPAC|2018-002 Web|20180103|2018-002 : Licences Panorama|600,00|0|A||20180301||
CA|Crédit Agricole||20180103|41100000|Clients|411ETH|EthiekZaak|2017-282 Conseil|20171222|Hr A M Van Den Boogaard Objet :  - Virement En Votre Faveur  - Numero Du Devis : 2017-144 - Objet : Red Star Part 1  -   |0|2035,00|||20180301||
VE|Journal des ventes||20180103|70600000|Prestations de services|70600100|PS Formation initiale 19.6%|2018-001 FI|20180103|2018-001 : Cours de management stratégique (20h)|0|1000,00|||20180301||
CA|Crédit Agricole||20180103|51200000|Banques|51214000|Crédit agricole| ||Assu. Cnp Pret Profession. 01/18  - Prelevement  - |0|23,50|||20180301||
VE|Journal des ventes||20180103|44500000|Etat - Taxes sur le chiffre d'affaires|44571200|TVA Collectée à 20%|2018-001 FI|20180103|2018-001 : Cours de management stratégique (20h)|0|200,00|||20180301||
VE|Journal des ventes||20180103|41100000|Clients|411ECOR|Ecoris|2018-001 FI|20180103|2018-001 : Cours de management stratégique (20h)|1200,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|12,02|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|13,55|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|9,60|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|7,00|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|0,48|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFGIN|Note de frais Céline Gindre|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|0|70,55|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0002 FG|20180101|D-2018-0002 : NDF Céline Gindre 1/2018 (FG)|16,60|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|0,70|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|0,88|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|5,77|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|1,35|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0001 FI|20180101|D-2018-0001 : NDF Céline Gindre 1/2018 (FI)|19,20|0|||20180301||
SG|Société Générale||20180104|42100000|Personnel - rémunérations dues|421NFMUR|Note de frais Geoffroy Murat| FG||000001 VIR EUROPEEN EMIS   NET|406,58|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0002 FG|20180101|D-2018-0002 : NDF Céline Gindre 1/2018 (FG)|10,70|0|||20180301||
SG|Société Générale||20180104|42100000|Personnel - rémunérations dues|421MUR|Salaire Murat| ||000001 VIR EUROPEEN EMIS   NET|4859,46|0|||20180301||
CA|Crédit Agricole||20180104|58100000|Virement de fonds|58100000|Virement de fonds| ||Virement Emis  - Web Nicomak Treso  - Treso  - 04/01/2018  - |15000,00|0|||20180301||
CAL|Crédit Agricole||20180104|51200000|Banques|512|Banques| ||Virement En Votre Faveur  - Treso Nicomak  - Treso -  |15000,00|0|||20180301||
CA|Crédit Agricole||20180104|40100000|Fournisseurs|401PEGAZ|Cabinet PEGAZ-FIORNET|D-2017-0878 |20171030|Virement Emis  - Web Mme Pegaz Fiornet So 3e Et D  - Facture De 8448 De Pegaz Boubaker  - Comptable  - 3e Et Dernier Virement  - 05/01/2018  - |2816,00|0|2017 2018 A||20180301||
SG|Société Générale||20180104|42100000|Personnel - rémunérations dues|421GILQ|Salaire Gilquin| ||000001 VIR EUROPEEN EMIS   NET|2091,85|0|||20180301||
SG|Société Générale||20180104|42100000|Personnel - rémunérations dues|421NFMUR|Note de frais Geoffroy Murat| Conseil||000001 VIR EUROPEEN EMIS   NET|557,38|0|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole|2017-280 |20171221|Amos Lyon 55  - Virement En Votre Faveur  - Vir De Amos Lyon 55 -  |699,88|0|||20180301||
CA|Crédit Agricole||20180104|16400000|Emprunts auprès des établissements de crédit|16440000|Emprunt Alize 25KE 2016| ||Chambre De Commerce  - Prelevmnt  - Alize Savoie  - Fr21zzz123404  - Nicomak  - |833,33|0|||20180301||
CA|Crédit Agricole||20180104|42100000|Personnel - rémunérations dues|421GUIB|Salaire Guibert| ||Virement Emis  - Web Laetitia Guibert Salaire Lae  - Salaire Laetitia Decembre  - 04/01/2018  - |2004,63|0|||20180301||
SG|Société Générale||20180104|42100000|Personnel - rémunérations dues|421NFMUR|Note de frais Geoffroy Murat| FC||000001 VIR EUROPEEN EMIS   NET|539,40|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62515000|Autoroutes|D-2018-0002 FG|20180101|D-2018-0002 : NDF Céline Gindre 1/2018 (FG)|1,42|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|6,20|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|4,41|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|3,98|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|0,24|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|6,20|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|9,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|30,10|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|29,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|18,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|13,00|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFGIN|Note de frais Céline Gindre|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|0|608,03|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0005 EV|20180101|D-2018-0005 : NDF Céline Gindre 1/2018 (EV)|16,90|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0006 FI|20180101|D-2018-0006 : NDF Céline Gindre 1/2018 (FI)|5,43|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFGIN|Note de frais Céline Gindre|D-2018-0006 FI|20180101|D-2018-0006 : NDF Céline Gindre 1/2018 (FI)|0|194,39|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0007 FC|20180101|D-2018-0007 : NDF Céline Gindre 1/2018 (FC)|54,30|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFGIN|Note de frais Céline Gindre|D-2018-0007 FC|20180101|D-2018-0007 : NDF Céline Gindre 1/2018 (FC)|0|54,30|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0006 FI|20180101|D-2018-0006 : NDF Céline Gindre 1/2018 (FI)|10,86|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0006 FI|20180101|D-2018-0006 : NDF Céline Gindre 1/2018 (FI)|10,86|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFGIN|Note de frais Céline Gindre|D-2018-0005 EV|20180101|D-2018-0005 : NDF Céline Gindre 1/2018 (EV)|0|16,90|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0006 FI|20180101|D-2018-0006 : NDF Céline Gindre 1/2018 (FI)|112,94|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0006 FI|20180101|D-2018-0006 : NDF Céline Gindre 1/2018 (FI)|54,30|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|38,20|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|39,72|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0003 Conseil|20180101|D-2018-0003 : NDF Céline Gindre 1/2018 (Conseil)|58,30|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0003 Conseil|20180101|D-2018-0003 : NDF Céline Gindre 1/2018 (Conseil)|44,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0003 Conseil|20180101|D-2018-0003 : NDF Céline Gindre 1/2018 (Conseil)|9,60|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62515000|Autoroutes|D-2018-0003 Conseil|20180101|D-2018-0003 : NDF Céline Gindre 1/2018 (Conseil)|4,83|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFGIN|Note de frais Céline Gindre|D-2018-0002 FG|20180101|D-2018-0002 : NDF Céline Gindre 1/2018 (FG)|0|37,61|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0002 FG|20180101|D-2018-0002 : NDF Céline Gindre 1/2018 (FG)|0,28|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62515000|Autoroutes|D-2018-0002 FG|20180101|D-2018-0002 : NDF Céline Gindre 1/2018 (FG)|2,08|0|||20180301||
SG|Société Générale||20180104|40100000|Fournisseurs|401THCON|TH conseil|D-2017-1031 Conseil|20171026|000001 VIR EUROPEEN EMIS   NET|302,86|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0002 FG|20180101|D-2018-0002 : NDF Céline Gindre 1/2018 (FG)|0,56|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0002 FG|20180101|D-2018-0002 : NDF Céline Gindre 1/2018 (FG)|0,42|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62515000|Autoroutes|D-2018-0003 Conseil|20180101|D-2018-0003 : NDF Céline Gindre 1/2018 (Conseil)|2,42|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0003 Conseil|20180101|D-2018-0003 : NDF Céline Gindre 1/2018 (Conseil)|0,97|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|55,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|47,30|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|40,30|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|40,20|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|55,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|61,20|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0003 Conseil|20180101|D-2018-0003 : NDF Céline Gindre 1/2018 (Conseil)|0,48|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFGIN|Note de frais Céline Gindre|D-2018-0003 Conseil|20180101|D-2018-0003 : NDF Céline Gindre 1/2018 (Conseil)|0|120,60|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|61,20|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0002 FG|20180101|D-2018-0002 : NDF Céline Gindre 1/2018 (FG)|5,55|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0004 FC|20180101|D-2018-0004 : NDF Céline Gindre 1/2018 (FC)|49,78|0|||20180301||
SG|Société Générale||20180104|51200000|Banques|51215000|Soge| Conseil||000001 VIR EUROPEEN EMIS   NET|0|557,38|||20180301||
SG|Société Générale||20180104|51200000|Banques|51215000|Soge| FG||000001 VIR EUROPEEN EMIS   NET|0|406,58|||20180301||
SG|Société Générale||20180104|51200000|Banques|51215000|Soge| FC||000001 VIR EUROPEEN EMIS   NET|0|539,40|||20180301||
SG|Société Générale||20180104|51200000|Banques|51215000|Soge| FI||000001 VIR EUROPEEN EMIS   NET|0|10,50|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole| ||Chambre De Commerce  - Prelevmnt  - Alize Savoie  - Fr21zzz123404  - Nicomak  - |0|833,33|||20180301||
SG|Société Générale||20180104|51200000|Banques|51215000|Soge| ||000001 VIR EUROPEEN EMIS   NET|0|2091,85|||20180301||
SG|Société Générale||20180104|51200000|Banques|51215000|Soge| ||000001 VIR EUROPEEN EMIS   NET|0|4859,46|||20180301||
SG|Société Générale||20180104|51200000|Banques|51215000|Soge|D-2017-1031 Conseil|20171026|000001 VIR EUROPEEN EMIS   NET|0|302,86|||20180301||
VE|Journal des ventes||20180104|41100000|Clients|411SPF|SPF P&O|2018-003 Web|20180104|2018-003 : Licences Panorama|484,00|0|||20180301||
CA|Crédit Agricole||20180104|40100000|Fournisseurs|401BIR|Bird Office|D-2018-0036 |20180103|Bird Office Paris          02/01  - Paiement Par Carte  - |177,60|0|2017 2018 D||20180301||
VE|Journal des ventes||20180104|70600000|Prestations de services|70600200|PS Conseil 19.6%|2018-003 Web|20180104|2018-003 : Licences Panorama|0|484,00|||20180301||
CAL|Crédit Agricole||20180104|58100000|Virement de fonds|58100000|Virement de fonds| ||Virement En Votre Faveur  - Treso Nicomak  - Treso -  |0|15000,00|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole|D-2017-0878 |20171030|Virement Emis  - Web Mme Pegaz Fiornet So 3e Et D  - Facture De 8448 De Pegaz Boubaker  - Comptable  - 3e Et Dernier Virement  - 05/01/2018  - |0|2816,00|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole|D-2018-0036 |20180103|Bird Office Paris          02/01  - Paiement Par Carte  - |0|177,60|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole| ||Virement Emis  - Web Laetitia Guibert Salaire Lae  - Salaire Laetitia Decembre  - 04/01/2018  - |0|2004,63|||20180301||
SG|Société Générale||20180104|51200000|Banques|51215000|Soge| EV||000001 VIR EUROPEEN EMIS   NET|0|2,90|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole| ||Virement Emis  - Web Nicomak Treso  - Treso  - 04/01/2018  - |0|15000,00|||20180301||
CA|Crédit Agricole||20180104|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Virement Unitair N°1800400031679  - Frais  - |0,22|0|||20180301||
SG|Société Générale||20180104|42100000|Personnel - rémunérations dues|421NFMUR|Note de frais Geoffroy Murat| EV||000001 VIR EUROPEEN EMIS   NET|2,90|0|||20180301||
SG|Société Générale||20180104|42100000|Personnel - rémunérations dues|421NFMUR|Note de frais Geoffroy Murat| FI||000001 VIR EUROPEEN EMIS   NET|10,50|0|||20180301||
CA|Crédit Agricole||20180104|61600000|Primes d'assurances|61610000|Assurance multirisque| ||Groupama Rhone Alpes Auvergne  - Prelevmnt  - Tip Sepa Groupama Rhones Alpes Auve  - Rgne  - Fr39zzz115223  - Tip009060000135506901900020000000  - |91,50|0|||20180301||
CA|Crédit Agricole||20180104|40100000|Fournisseurs|401ZOOM|zoom|D-2017-1008 Conseil|20171229|Zoom.Us 08887999666        03/01  - Paiement Par Carte  - |12,49|0|||20180301||
CA|Crédit Agricole||20180104|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Virement Unitair N°1800400031678  - Frais  - |0,22|0|||20180301||
CA|Crédit Agricole||20180104|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Carte Hors Euro  N°1800400031680  - Frais  - |0,72|0|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole|D-2017-1008 Conseil|20171229|Zoom.Us 08887999666        03/01  - Paiement Par Carte  - |0|12,49|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole| ||Groupama Rhone Alpes Auvergne  - Prelevmnt  - Tip Sepa Groupama Rhones Alpes Auve  - Rgne  - Fr39zzz115223  - Tip009060000135506901900020000000  - |0|91,50|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole| ||Virement Unitair N°1800400031678  - Frais  - |0|0,22|||20180301||
CA|Crédit Agricole||20180104|41100000|Clients|411AMO|AMOS Lyon|2017-280 |20171221|Amos Lyon 55  - Virement En Votre Faveur  - Vir De Amos Lyon 55 -  |0|699,88|2017 2018 ||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole| ||Virement Unitair N°1800400031679  - Frais  - |0|0,22|||20180301||
CA|Crédit Agricole||20180104|51200000|Banques|51214000|Crédit agricole| ||Carte Hors Euro  N°1800400031680  - Frais  - |0|0,72|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-00010 FG|20180101|D-2018-00010 : NDF Alice Lousson 1/2018 (FG)|84,18|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|42100000|Personnel - rémunérations dues|D-2018-00010 FG|20180101|D-2018-00010 : NDF Alice Lousson 1/2018 (FG)|0|86,02|C||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-00010 FG|20180101|D-2018-00010 : NDF Alice Lousson 1/2018 (FG)|1,84|0|||20180301||
